iter	Passed	Remaining
0	142	142458
1	145	72651
2	148	49210
3	150	37480
4	152	30421
5	155	25721
6	157	22365
7	160	19841
8	162	17877
9	164	16302
10	167	15020
11	169	13953
12	173	13138
13	175	12381
14	178	11728
15	181	11142
16	183	10634
17	187	10205
18	189	9797
19	191	9398
20	195	9099
21	197	8791
22	200	8526
23	203	8291
24	206	8054
25	209	7835
26	211	7632
27	214	7461
28	218	7309
29	220	7144
30	223	6989
31	226	6847
32	229	6713
33	231	6589
34	234	6479
35	238	6373
36	241	6274
37	243	6169
38	246	6085
39	250	6000
40	253	5918
41	255	5831
42	258	5748
43	261	5681
44	264	5613
45	267	5542
46	269	5471
47	272	5401
48	274	5334
49	277	5276
50	280	5219
51	283	5160
52	285	5105
53	288	5048
54	290	4995
55	293	4943
56	295	4894
57	298	4844
58	300	4797
59	303	4752
60	305	4709
61	308	4670
62	311	4629
63	313	4590
64	316	4550
65	318	4512
66	321	4477
67	324	4443
68	326	4409
69	329	4375
70	331	4341
71	334	4308
72	336	4278
73	339	4248
74	342	4219
75	344	4190
76	347	4160
77	350	4143
78	353	4116
79	355	4090
80	358	4064
81	360	4037
82	363	4011
83	365	3987
84	368	3962
85	370	3939
86	373	3915
87	375	3891
88	378	3869
89	380	3850
90	383	3830
91	386	3810
92	388	3789
93	391	3769
94	393	3749
95	396	3731
96	398	3713
97	401	3693
98	403	3674
99	406	3657
100	408	3638
101	411	3623
102	414	3607
103	416	3590
104	419	3574
105	421	3556
106	424	3539
107	426	3525
108	429	3511
109	432	3498
110	435	3484
111	437	3470
112	440	3457
113	443	3444
114	446	3434
115	449	3423
116	452	3414
117	455	3403
118	458	3392
119	461	3385
120	464	3374
121	467	3362
122	469	3350
123	472	3337
124	475	3326
125	477	3312
126	480	3300
127	482	3286
128	484	3274
129	487	3263
130	490	3252
131	492	3240
132	495	3227
133	497	3215
134	499	3203
135	502	3192
136	504	3180
137	507	3168
138	509	3157
139	512	3146
140	514	3134
141	517	3125
142	520	3118
143	523	3110
144	525	3100
145	528	3089
146	530	3078
147	533	3069
148	535	3061
149	538	3051
150	540	3041
151	543	3031
152	545	3021
153	548	3012
154	551	3004
155	553	2995
156	556	2985
157	558	2975
158	560	2966
159	563	2957
160	565	2947
161	568	2938
162	570	2929
163	572	2919
164	575	2910
165	577	2902
166	580	2895
167	582	2886
168	585	2878
169	587	2869
170	590	2861
171	592	2854
172	595	2847
173	598	2839
174	600	2831
175	603	2823
176	605	2815
177	608	2808
178	610	2802
179	613	2794
180	616	2787
181	618	2779
182	620	2771
183	623	2765
184	626	2758
185	628	2751
186	631	2743
187	633	2736
188	636	2729
189	638	2722
190	640	2714
191	643	2707
192	645	2700
193	648	2693
194	650	2686
195	653	2680
196	655	2673
197	658	2667
198	661	2660
199	663	2653
200	665	2647
201	668	2640
202	671	2635
203	673	2629
204	676	2622
205	678	2616
206	681	2609
207	683	2603
208	686	2598
209	689	2592
210	691	2586
211	694	2579
212	696	2573
213	699	2568
214	701	2560
215	703	2554
216	706	2548
217	708	2542
218	711	2536
219	713	2530
220	716	2524
221	718	2518
222	720	2511
223	723	2505
224	725	2499
225	728	2493
226	730	2488
227	733	2483
228	735	2477
229	738	2472
230	740	2466
231	743	2460
232	746	2456
233	748	2451
234	751	2446
235	753	2440
236	756	2435
237	758	2429
238	761	2425
239	764	2421
240	767	2415
241	769	2410
242	772	2406
243	775	2401
244	777	2396
245	780	2391
246	782	2386
247	785	2380
248	787	2376
249	790	2371
250	793	2367
251	796	2363
252	798	2358
253	801	2353
254	804	2349
255	806	2345
256	809	2341
257	812	2336
258	815	2331
259	816	2324
260	819	2321
261	822	2316
262	825	2312
263	827	2307
264	830	2302
265	832	2297
266	834	2292
267	837	2287
268	840	2283
269	842	2278
270	845	2274
271	847	2269
272	850	2264
273	852	2259
274	855	2254
275	857	2249
276	859	2244
277	862	2239
278	864	2234
279	867	2230
280	870	2226
281	872	2221
282	874	2216
283	877	2211
284	879	2207
285	882	2203
286	885	2199
287	887	2195
288	890	2190
289	892	2185
290	895	2181
291	897	2176
292	900	2173
293	903	2168
294	905	2164
295	907	2159
296	910	2155
297	912	2150
298	915	2145
299	917	2141
300	920	2136
301	922	2132
302	924	2127
303	927	2124
304	930	2120
305	932	2115
306	935	2111
307	937	2107
308	940	2102
309	942	2098
310	945	2094
311	948	2090
312	950	2086
313	953	2082
314	955	2078
315	958	2074
316	960	2070
317	963	2066
318	965	2061
319	968	2057
320	970	2053
321	973	2049
322	976	2046
323	978	2042
324	981	2037
325	983	2033
326	986	2029
327	989	2026
328	991	2022
329	994	2018
330	996	2014
331	999	2010
332	1002	2007
333	1005	2004
334	1008	2001
335	1010	1997
336	1013	1994
337	1016	1990
338	1019	1987
339	1022	1984
340	1025	1981
341	1027	1977
342	1030	1973
343	1033	1970
